Age Group,Game Number,Away,Home,Date,Time,Field
U14,67,Unity 14U Amsler/Johnson,Fury Premier 2027 Robinson,6/8,8:15 PM,Champions Park - Field 13
U14,71,Unity Mayfield,LLG Futures SC,6/8,8:15 PM,Champions Park - Field 2
U14,72,Rock Gold 14U Giddens/Manetta,Atlanta Vipers Gold - 2010 - Lynch,6/8,8:15 PM,Champions Park - Field 3
U14,73,South Florida Intensity KOD - Pascual,Tampa Mustangs - BK,6/8,8:15 PM,Champions Park - Field 4
U14,76,Ahtletics Gold Tamborra/Hamilton,Birmingham Thunderbolts Premier 2027-Alford,6/9,8:00 AM,Champions Park - Field 1
U14,82,Mojo RWZ,Santa Fe Inferno 09 Donalson,6/9,8:00 AM,Champions Park - Field 15
U14,83,Team North Carolina Tucker/Benson,Tennessee Thunderbolts Premier 2027,6/9,8:00 AM,Champions Park - Field 16
U14,84,Birmingham Thunderbolts Premier 2028 Brashears,Texas Blaze 14U Gold - Bliss,6/9,8:00 AM,Champions Park - Field 2
U14,85,Frost Falcons 09,LLG Futures NC,6/9,8:00 AM,Champions Park - Field 3
U14,86,Fury Platinum X-Pickett,SoCal Athletics Marinakis/Causey Premier 2027,6/9,8:00 AM,Champions Park - Field 4
U14,92,Birmingham Thunderbolts Premier 2027-Alford,Tampa Mustangs 09 Pynes,6/9,9:45 AM,Champions Park - Field 1
U14,98,Mojo RWZ,Team North Carolina Tucker/Benson,6/9,9:45 AM,Champions Park - Field 15
U14,99,Santa Fe Inferno 09 Donalson,Tennessee Thunderbolts Premier 2027,6/9,9:45 AM,Champions Park - Field 16
U14,100,Texas Blaze 14U Gold - Bliss,Georgia Impact Premier O'Neal 09,6/9,9:45 AM,Champions Park - Field 2
U14,101,LLG Futures NC,Santa fe inferno Humphrey 14u,6/9,9:45 AM,Champions Park - Field 3
U14,102,SoCal Athletics Marinakis/Causey Premier 2027,Santa Fe Inferno Young,6/9,9:45 AM,Champions Park - Field 4
U14,108,Tampa Mustangs 09 Pynes,Ahtletics Gold Tamborra/Hamilton,6/9,11:30 AM,Champions Park - Field 1
U14,116,Georgia Impact Premier O'Neal 09,Birmingham Thunderbolts Premier 2028 Brashears,6/9,11:30 AM,Champions Park - Field 2
U14,117,Santa fe inferno Humphrey 14u,Frost Falcons 09,6/9,11:30 AM,Champions Park - Field 3
U14,118,Santa Fe Inferno Young,Fury Platinum X-Pickett,6/9,11:30 AM,Champions Park - Field 4
